,OutputGene,InputGene,FuncSimScore,PhenoSimScore,InteractionFound,FuncSharedTerms,PhenoSharedTerms
169,NFU1,EPM2A,,,1.0,,
170,DGKE,NHLRC1,0.3333333333333333,,,"['Phosphorylation ', 'Transferase activity ']",
171,COP1,NHLRC1,0.3935483870967742,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
172,COPS8,NHLRC1,0.3209302325581395,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
173,COX5A,EPM2A,,,1.0,,
174,DAZAP2,NHLRC1,0.34567901234567894,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
175,DBF4,NHLRC1,0.3575418994413408,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
176,DBNDD2,NHLRC1,0.31543624161073824,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
177,DERL1,NHLRC1,0.35353535353535354,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
178,DET1,NHLRC1,0.32098765432098764,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
179,DGKA,NHLRC1,0.3282051282051282,,,"['Phosphorylation ', 'Transferase activity ']",
180,DGKB,NHLRC1,0.30049261083743845,,,"['Phosphorylation ', 'Transferase activity ']",
181,DGKG,NHLRC1,0.3177083333333333,,,"['Phosphorylation ', 'Transferase activity ']",
182,CNPPD1,NHLRC1,0.32867132867132864,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
183,DGKH,NHLRC1,0.32446808510638303,,,"['Phosphorylation ', 'Transferase activity ']",
184,DGKK,NHLRC1,0.33516483516483514,,,"['Phosphorylation ', 'Transferase activity ']",
185,DGKZ,NHLRC1,0.3142857142857143,,,"['Regulation of transferase activity ', 'Positive regulation of cellular metabolic process ', 'Positive regulation of metabolic process ']",
186,DIRAS3,NHLRC1,0.3333333333333333,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
187,DNAJC10,NHLRC1,0.3025641025641025,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
188,DOCK3,NHLRC1,0.3431952662721893,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
189,DOK7,NHLRC1,0.3684210526315789,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
190,DUSP11,EPM2A,,,1.0,,
191,DUSP3,EPM2A,,,1.0,,
192,DUSP5,NHLRC1,0.327683615819209,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
193,COMMD1,NHLRC1,0.3278008298755187,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
194,CLSPN,NHLRC1,0.3087557603686636,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
195,DYNAP,NHLRC1,0.3493975903614458,,,"['Regulation of cellular protein metabolic process ', 'Regulation of protein metabolic process ', 'Cellular protein modification process ']",
